"Umpire","G","PC","IC","xIC","CC","xCC","CCAx","Acc","xAcc","AAx","minAcc","maxAcc","avgCon","avgFav","avgTRI","avgLev"
"Adam Hamari","27","4170","297","331.8","3873","3838.2","34.8","92.9","92","0.83","86.7","96.6","93.8","0.4","1.3","0.12"
"Adrian Johnson","29","4505","369","355.6","4136","4149.4","-13.4","91.8","92.1","-0.3","87","96.4","93.1","0.4","1.6","0.12"
"Alan Porter","29","4740","340","393","4400","4347","53","92.8","91.7","1.12","88.7","96.5","93.3","0.4","1.5","0.13"
"Alfonso Marquez","27","4160","306","310.3","3854","3849.7","4.3","92.6","92.5","0.1","87.9","97.6","93.7","0.6","1.5","0.13"
"Andy Fletcher","26","4151","369","344.8","3782","3806.2","-24.2","91.1","91.7","-0.58","85","97.6","92","0.6","2","0.14"
"Angel Hernandez","29","4677","424","392.8","4253","4284.2","-31.2","90.9","91.6","-0.67","83.9","95","92.4","0.5","2","0.14"
"Ben May","23","3555","236","270.1","3319","3284.9","34.1","93.4","92.4","0.96","90","99.3","94","0.3","1.1","0.11"
"Bill Miller","32","4908","418","388.1","4490","4519.9","-29.9","91.5","92.1","-0.61","86.1","98.7","93.2","0.6","1.7","0.13"
"Bill Welke","31","4863","396","395.2","4467","4467.8","-0.8","91.9","91.9","-0.02","84.3","96.4","93.1","0.3","1.7","0.13"
"Brian Gorman","21","3343","296","274.8","3047","3068.2","-21.2","91.1","91.8","-0.64","84.6","96","93.4","0.6","1.9","0.13"
"Brian Knight","12","1886","154","164.1","1732","1721.9","10.1","91.8","91.3","0.53","86.7","94.7","92.4","0.6","1.4","0.11"
"Brian O'Nora","31","4806","389","371.6","4417","4434.4","-17.4","91.9","92.3","-0.36","84.1","95.3","93.1","0.4","1.6","0.13"
"Bruce Dreckman","33","5147","437","416.3","4710","4730.7","-20.7","91.5","91.9","-0.4","86.3","95.5","93.7","0.6","1.9","0.14"
"Carlos Torres","29","4309*","300*","357.4*","4009*","3951.6*","57.4*","93*","91.7*","1.33*","88.6*","97.5*","93.6*","0.5*","1.5*","0.14*"
"CB Bucknor","25","3848","346","307.5","3502","3540.5","-38.5","91","92","-1","85.5","95.3","92.5","0.5","1.8","0.13"
"Chad Fairchild","32","5010","409","387.9","4601","4622.1","-21.1","91.8","92.3","-0.42","87.3","96.4","94","0.5","1.6","0.13"
"Chad Whitson","28","4347","329","330.6","4018","4016.4","1.6","92.4","92.4","0.04","87.6","97.1","93.6","0.4","1.5","0.13"
"Chris Conroy","30","4704","345","388.8","4359","4315.2","43.8","92.7","91.7","0.93","88.5","96","93.6","0.6","1.6","0.14"
"Chris Guccione","30","4698","360","402.6","4338","4295.4","42.6","92.3","91.4","0.91","86.7","97.3","93.1","0.5","1.5","0.13"
"Chris Segal","31","4676","338","369.7","4338","4306.3","31.7","92.8","92.1","0.68","87.1","98.8","93.3","0.4","1.3","0.12"
"Clint Fagan","16","2558","200","200","2358","2358","0","92.2","92.2","0","86","95.3","93.8","0.4","1.7","0.13"
"Cory Blaser","30","4553","361","370.6","4192","4182.4","9.6","92.1","91.9","0.21","86.5","98.1","93.3","0.4","1.5","0.12"
"D.J. Reyburn","33","5364","470","433.4","4894","4930.6","-36.6","91.2","91.9","-0.68","80.1","97","93","0.5","2.1","0.15"
"Dale Scott","2","347","33","34.1","314","312.9","1.1","90.5","90.2","0.31","87.6","93.2","91.9","1","2.2","0.13"
"Dan Bellino","30","4887","381","379.6","4506","4507.4","-1.4","92.2","92.2","-0.03","87.2","96.1","93.3","0.5","1.8","0.14"
"Dan Iassogna","27","4136","364","319.8","3772","3816.2","-44.2","91.2","92.3","-1.07","82.4","95.9","93.1","0.4","1.7","0.13"
"Dana DeMuth","28","4485","334","364.1","4151","4120.9","30.1","92.6","91.9","0.67","85.5","97.6","93","0.5","1.6","0.13"
"David Rackley","29","4527","363","364.1","4164","4162.9","1.1","92","92","0.02","87","97.2","93.5","0.5","1.6","0.12"
"Doug Eddings","31","4733","401","370.6","4332","4362.4","-30.4","91.5","92.2","-0.64","85.1","96.9","92.8","0.5","1.6","0.12"
"Ed Hickox","17","2704","241","212.3","2463","2491.7","-28.7","91.1","92.1","-1.06","84.8","95.9","93.1","0.6","1.9","0.13"
"Eric Cooper","27","4070","246","318","3824","3752","72","94","92.2","1.77","88.7","97.4","94","0.4","1.2","0.13"
"Fieldin Culbreth","27","4124","313","327.7","3811","3796.3","14.7","92.4","92.1","0.36","88","96.8","93.7","0.5","1.7","0.14"
"Gabe Morales","30","4743","364","389.2","4379","4353.8","25.2","92.3","91.8","0.53","88.6","97.9","93.9","0.7","1.7","0.14"
"Gary Cederstrom","31","5033","400","410.6","4633","4622.4","10.6","92.1","91.8","0.21","86.3","97.4","94.5","0.5","1.8","0.14"
