Name,2015,2016,2017,2018,2019,2020,2021,2022,2023,Catergory
Andy Fletcher,93.4,90.1,91.1,92.1,92.1,93.2,92.6,92.4,93.4,7
Angel Hernandez,92,90.4,90.9,92.3,92.3,93.2,92.7,93.4,92,8
Brian Knight,94,90.2,91.8,91.6,92.1,93.1,93.5,94.5,94,5
Carlos Torres,93.8,90.6,93,93.8,92.9,94,94.1,93.8,93.8,4
Doug Eddings,92.8,90.7,91.5,92.5,93,91.2,92.5,92.7,92.8,6
Jeff Nelson,93.9,90.5,92,93.3,93.1,95.1,93.5,93.3,93.9,7
Mike Muchlinski,94,91.9,91.6,93.4,93.1,92.4,93.6,93,94,5
Quinn Wolcott,96,91.9,92.6,93,93.1,92.5,94.1,94.5,96.8,3
Pat Hoburg,95.5,92.3,93.4,94,94.7,94.6,95.1,95.3,95.5,3
Tripp Gibson,95,92.3,92.8,93.3,94,94.3,95.1,95,95,4
